Item No., Key, Status, Timestamp, Correct, Miss, Incorrect
1, F, 1, 00.63, 1, 0, 0
2, I, 1, 01.07, 2, 0, 0
3, P, 1, 01.43, 3, 0, 0
4, I, 1, 01.93, 4, 0, 0
5, R, 1, 02.63, 5, 0, 0
6, I, 1, 03.20, 6, 0, 0
7, 9, 1, 04.00, 7, 0, 0
8, F, 1, 04.50, 8, 0, 0
9, Q, 1, 05.50, 9, 0, 0
10, P, 1, 06.07, 10, 0, 0
12, 9, 1, 09.27, 11, 1, 0
13, !, 0, 010.33, 11, 1, 1
13, !, 0, 011.20, 11, 1, 2
14, F, 1, 012.00, 12, 2, 2
15, Q, 1, 013.23, 13, 2, 2
16, R, 1, 013.80, 14, 2, 2
17, P, 1, 014.63, 15, 2, 2
18, F, 1, 015.17, 16, 2, 2
19, P, 1, 015.73, 17, 2, 2
20, R, 1, 016.50, 18, 2, 2
21, P, 1, 017.50, 19, 2, 2
22, Q, 1, 018.10, 20, 2, 2
23, I, 1, 018.63, 21, 2, 2
24, Q, 1, 019.13, 22, 2, 2
25, 9, 1, 019.80, 23, 2, 2
26, R, 1, 020.50, 24, 2, 2
27, F, 1, 021.47, 25, 2, 2
28, 9, 1, 022.13, 26, 2, 2
29, I, 1, 022.93, 27, 2, 2
30, F, 1, 024.37, 28, 2, 2
